23.06.2015 13:26:09,272 INFO  logic.ProcessingAirplane - The airplane ID-54 expects service
23.06.2015 13:26:09,697 INFO  logic.ProcessingAirplane - Processing of the airplane ID-50 is complete
23.06.2015 13:26:09,697 INFO  logic.ProcessingAirplane - Processing airplane ID-45, passanger count 16, necessary time 1600
23.06.2015 13:26:09,697 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-45
23.06.2015 13:26:09,776 INFO  creator.GenerateAirplane - Generate new airplane ID-55, passanger 42
23.06.2015 13:26:09,776 INFO  logic.ProcessingAirplane - The airplane ID-55 expects service
23.06.2015 13:26:10,093 INFO  logic.ProcessingAirplane - Processing of the airplane ID-27 is complete
23.06.2015 13:26:10,093 INFO  logic.ProcessingAirplane - Processing airplane ID-44, passanger count 53, necessary time 5300
23.06.2015 13:26:10,093 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-44
23.06.2015 13:26:10,281 INFO  creator.GenerateAirplane - Generate new airplane ID-56, passanger 63
23.06.2015 13:26:10,281 INFO  logic.ProcessingAirplane - The airplane ID-56 expects service
23.06.2015 13:26:10,406 INFO  logic.ProcessingAirplane - Processing airplane ID-32, passanger count 90, necessary time 9000
23.06.2015 13:26:10,406 INFO  logic.ProcessingAirplane - Use ladder number 2, airplane ID-32
23.06.2015 13:26:10,406 INFO  logic.ProcessingAirplane - Processing of the airplane ID-49 is complete
23.06.2015 13:26:10,795 INFO  creator.GenerateAirplane - Generate new airplane ID-57, passanger 10
23.06.2015 13:26:10,797 INFO  logic.ProcessingAirplane - The airplane ID-57 expects service
23.06.2015 13:26:10,986 INFO  logic.ProcessingAirplane - Processing of the airplane ID-38 is complete
23.06.2015 13:26:10,986 INFO  logic.ProcessingAirplane - Processing airplane ID-56, passanger count 63, necessary time 6300
23.06.2015 13:26:10,986 INFO  logic.ProcessingAirplane - Use terminal number 2, airplane ID-56
23.06.2015 13:26:11,205 INFO  logic.ProcessingAirplane - Processing of the airplane ID-34 is complete
23.06.2015 13:26:11,205 INFO  logic.ProcessingAirplane - Processing airplane ID-40, passanger count 64, necessary time 6400
23.06.2015 13:26:11,205 INFO  logic.ProcessingAirplane - Use ladder number 4, airplane ID-40
23.06.2015 13:26:11,298 INFO  logic.ProcessingAirplane - Processing of the airplane ID-45 is complete
23.06.2015 13:26:11,298 INFO  creator.GenerateAirplane - Generate new airplane ID-58, passanger 64
23.06.2015 13:26:11,298 INFO  logic.ProcessingAirplane - Processing airplane ID-55, passanger count 42, necessary time 4200
23.06.2015 13:26:11,298 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-55
23.06.2015 13:26:11,298 INFO  logic.ProcessingAirplane - The airplane ID-58 expects service
23.06.2015 13:26:11,803 INFO  creator.GenerateAirplane - Generate new airplane ID-59, passanger 76
23.06.2015 13:26:11,804 INFO  logic.ProcessingAirplane - The airplane ID-59 expects service
23.06.2015 13:26:12,149 INFO  logic.ProcessingAirplane - Processing of the airplane ID-29 is complete
23.06.2015 13:26:12,149 INFO  logic.ProcessingAirplane - Processing airplane ID-35, passanger count 75, necessary time 7500
23.06.2015 13:26:12,149 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-35
23.06.2015 13:26:12,305 INFO  creator.GenerateAirplane - Generate new airplane ID-60, passanger 64
23.06.2015 13:26:12,305 INFO  logic.ProcessingAirplane - The airplane ID-60 expects service
23.06.2015 13:26:12,821 INFO  creator.GenerateAirplane - Generate new airplane ID-61, passanger 43
23.06.2015 13:26:12,822 INFO  logic.ProcessingAirplane - The airplane ID-61 expects service
23.06.2015 13:26:13,121 INFO  logic.ProcessingAirplane - Processing of the airplane ID-39 is complete
23.06.2015 13:26:13,121 INFO  logic.ProcessingAirplane - Processing airplane ID-59, passanger count 76, necessary time 7600
23.06.2015 13:26:13,121 INFO  logic.ProcessingAirplane - Use ladder number 3, airplane ID-59
23.06.2015 13:26:13,324 INFO  creator.GenerateAirplane - Generate new airplane ID-62, passanger 82
23.06.2015 13:26:13,324 INFO  logic.ProcessingAirplane - The airplane ID-62 expects service
23.06.2015 13:26:13,491 INFO  logic.ProcessingAirplane - Processing of the airplane ID-43 is complete
23.06.2015 13:26:13,491 INFO  logic.ProcessingAirplane - Processing airplane ID-60, passanger count 64, necessary time 6400
23.06.2015 13:26:13,491 INFO  logic.ProcessingAirplane - Use terminal number 1, airplane ID-60
23.06.2015 13:26:13,834 INFO  creator.GenerateAirplane - Generate new airplane ID-63, passanger 74
23.06.2015 13:26:13,835 INFO  logic.ProcessingAirplane - The airplane ID-63 expects service
23.06.2015 13:26:14,337 INFO  creator.GenerateAirplane - Generate new airplane ID-64, passanger 62
23.06.2015 13:26:14,337 INFO  logic.ProcessingAirplane - The airplane ID-64 expects service
23.06.2015 13:26:14,837 INFO  creator.GenerateAirplane - Generate new airplane ID-65, passanger 16
23.06.2015 13:26:14,837 INFO  logic.ProcessingAirplane - The airplane ID-65 expects service
23.06.2015 13:26:15,339 INFO  creator.GenerateAirplane - Generate new airplane ID-66, passanger 77
23.06.2015 13:26:15,339 INFO  logic.ProcessingAirplane - The airplane ID-66 expects service
23.06.2015 13:26:15,401 INFO  logic.ProcessingAirplane - Processing of the airplane ID-44 is complete
23.06.2015 13:26:15,401 INFO  logic.ProcessingAirplane - Processing airplane ID-53, passanger count 18, necessary time 1800
23.06.2015 13:26:15,401 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-53
23.06.2015 13:26:15,508 INFO  logic.ProcessingAirplane - Processing airplane ID-61, passanger count 43, necessary time 4300
23.06.2015 13:26:15,508 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-61
23.06.2015 13:26:15,508 INFO  logic.ProcessingAirplane - Processing of the airplane ID-55 is complete
23.06.2015 13:26:15,852 INFO  creator.GenerateAirplane - Generate new airplane ID-67, passanger 23
23.06.2015 13:26:15,853 INFO  logic.ProcessingAirplane - The airplane ID-67 expects service
23.06.2015 13:26:16,354 INFO  creator.GenerateAirplane - Generate new airplane ID-68, passanger 74
23.06.2015 13:26:16,354 INFO  logic.ProcessingAirplane - The airplane ID-68 expects service
23.06.2015 13:26:16,870 INFO  creator.GenerateAirplane - Generate new airplane ID-69, passanger 41
23.06.2015 13:26:16,871 INFO  logic.ProcessingAirplane - The airplane ID-69 expects service
23.06.2015 13:26:17,217 INFO  logic.ProcessingAirplane - Processing of the airplane ID-53 is complete
23.06.2015 13:26:17,217 INFO  logic.ProcessingAirplane - Processing airplane ID-52, passanger count 56, necessary time 5600
23.06.2015 13:26:17,217 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-52
23.06.2015 13:26:17,295 INFO  logic.ProcessingAirplane - Processing of the airplane ID-56 is complete
